Quantity,Start Date,Actual Stop Date,Unit Price Excl. Tax,Price Type,Invoice Detail ID Description,Quantity Shipped,Line No.,customer_code
1.0,2/9/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_5
1.0,2/9/2024,,0.00,,Installation/Service,1.0,40000,customer_5
3.0,2/9/2024,,250.00,Per Month,Monitoring,3.0,50000,customer_5
1.0,2/9/2024,,749.00,Per Month,Lease/Rental,1.0,60000,customer_5
1.0,2/9/2024,,150.00,Per Month,Lease/Rental,1.0,70000,customer_5
1.0,2/9/2024,,50.00,Per Month,Damage Waiver,1.0,80000,customer_5
1.0,2/9/2024,,0.00,,Installation/Service,1.0,90000,customer_5
3.0,2/9/2024,,250.00,Per Month,Monitoring,3.0,100000,customer_5
1.0,2/9/2024,,481.50,Per Month,Lease/Rental,1.0,110000,customer_5
1.0,2/9/2024,,150.00,Per Month,Lease/Rental,1.0,120000,customer_5
1.0,2/9/2024,,50.00,Per Month,Damage Waiver,1.0,130000,customer_5
1.0,2/9/2024,,0.00,,Installation/Service,1.0,140000,customer_5
3.0,2/9/2024,,250.00,Per Month,Monitoring,3.0,150000,customer_5
1.0,2/9/2024,,481.50,Per Month,Lease/Rental,1.0,160000,customer_5
1.0,2/9/2024,,150.00,Per Month,Lease/Rental,1.0,170000,customer_5
1.0,2/9/2024,,50.00,Per Month,Damage Waiver,1.0,180000,customer_5
1.0,2/9/2024,,0.00,,Installation/Service,1.0,190000,customer_5
3.0,2/9/2024,,250.00,Per Month,Monitoring,3.0,200000,customer_5
1.0,2/6/2024,,"1,282.05",Per Month,Lease/Rental,1.0,10000,customer_6
1.0,2/6/2024,,99.00,Per Month,Lease/Rental,1.0,20000,customer_6
4.0,2/6/2024,,113.85,Per Month,Monitoring,4.0,50000,customer_6
1.0,2/6/2024,,643.50,,Installation/Service,1.0,60000,customer_6
1.0,2/12/2024,5/29/2024,"1,140.00",Per Month,Lease/Rental,1.0,10000,customer_7
1.0,2/12/2024,5/29/2024,150.00,Per Month,Lease/Rental,1.0,20000,customer_7
1.0,2/12/2024,5/29/2024,50.00,Per Month,Damage Waiver,1.0,30000,customer_7
1.0,2/12/2024,,800.00,,Installation/Service,1.0,40000,customer_7
2.0,2/12/2024,5/29/2024,125.00,Per Month,Monitoring,2.0,50000,customer_7
1.0,2/12/2024,5/29/2024,250.00,Per Month,Maintenance Agreements,1.0,60000,customer_7
1.0,2/8/2024,,"1,373.00",Per Month,Lease/Rental,1.0,10000,customer_8
1.0,2/8/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_8
1.0,2/8/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_8
1.0,2/8/2024,,800.00,,Installation/Service,1.0,40000,customer_8
4.0,2/8/2024,,175.00,Per Month,Monitoring,4.0,50000,customer_8
1.0,2/8/2024,,75.00,Per Month,Maintenance Agreements,1.0,60000,customer_8
1.0,2/12/2024,,"1,440.00",Per Month,Lease/Rental,1.0,50000,customer_9
1.0,2/12/2024,,400.00,,Installation/Service,1.0,60000,customer_9
1.0,2/12/2024,,192.00,,Other Rev & Reimbursement,1.0,70000,customer_9
4.0,2/12/2024,,167.65,Per Month,Monitoring,4.0,80000,customer_9
1.0,2/12/2024,,"1,440.00",Per Month,Lease/Rental,1.0,90000,customer_9
1.0,2/12/2024,,400.00,,Installation/Service,1.0,100000,customer_9
1.0,2/12/2024,,192.00,,Other Rev & Reimbursement,1.0,110000,customer_9
4.0,2/12/2024,,167.65,Per Month,Monitoring,4.0,120000,customer_9
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,10000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,40000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,50000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,60000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,70000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,80000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,90000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,100000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,110000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,120000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,130000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,140000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,150000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,160000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,170000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,180000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,190000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,200000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,210000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,220000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,230000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,240000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,250000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,260000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,270000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,280000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,290000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,300000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,310000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,320000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,330000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,340000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,350000,customer_10
1.0,5/16/2024,,825.00,Per Month,Lease/Rental,1.0,360000,customer_10
1.0,5/16/2024,,150.00,Per Month,Lease/Rental,1.0,370000,customer_10
1.0,5/16/2024,,50.00,Per Month,Damage Waiver,1.0,380000,customer_10
1.0,5/16/2024,,600.00,,Installation/Service,1.0,390000,customer_10
3.0,5/16/2024,,175.00,Per Month,Monitoring,3.0,400000,customer_10
1.0,6/24/2024,,300.00,,Installation/Service,1.0,410000,customer_10
1.0,3/8/2024,,"2,000.00",,Installation/Service,1.0,20000,customer_11
1.0,3/8/2024,,75.00,Per Month,Maintenance Agreements,1.0,30000,customer_11
1.0,3/8/2024,,"24,750.00",,Unit Sales,1.0,50000,customer_11
1.0,4/20/2024,,"1,467.00",Per Month,Lease/Rental,1.0,160000,customer_12
1.0,4/20/2024,,150.00,Per Month,Lease/Rental,1.0,170000,customer_12
1.0,4/20/2024,,600.00,,Installation/Service,1.0,180000,customer_12
1.0,4/20/2024,,50.00,Per Month,Damage Waiver,1.0,190000,customer_12
1.0,4/20/2024,,250.00,Per Month,Monitoring,1.0,200000,customer_12
1.0,4/20/2024,,"1,467.00",Per Month,Lease/Rental,1.0,210000,customer_12
1.0,4/20/2024,,150.00,Per Month,Lease/Rental,1.0,220000,customer_12
1.0,4/20/2024,,600.00,,Installation/Service,1.0,230000,customer_12
1.0,4/20/2024,,50.00,Per Month,Damage Waiver,1.0,240000,customer_12
1.0,4/20/2024,,250.00,Per Month,Monitoring,1.0,250000,customer_12
1.0,4/20/2024,,825.00,Per Month,Lease/Rental,1.0,260000,customer_12
1.0,4/20/2024,,150.00,Per Month,Lease/Rental,1.0,270000,customer_12
1.0,4/20/2024,,50.00,Per Month,Damage Waiver,1.0,280000,customer_12
1.0,4/20/2024,,600.00,,Installation/Service,1.0,290000,customer_12
3.0,4/20/2024,,250.00,Per Month,Monitoring,3.0,300000,customer_12
1.0,4/27/2024,,825.00,Per Month,Lease/Rental,1.0,310000,customer_12
1.0,4/27/2024,,150.00,Per Month,Lease/Rental,1.0,320000,customer_12
1.0,4/27/2024,,50.00,Per Month,Damage Waiver,1.0,330000,customer_12
1.0,4/27/2024,,600.00,,Installation/Service,1.0,340000,customer_12
3.0,4/27/2024,,250.00,Per Month,Monitoring,3.0,350000,customer_12
1.0,3/1/2024,,"1,873.00",Per Month,Lease/Rental,1.0,10000,customer_13
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_13
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_13
1.0,3/1/2024,,800.00,,Installation/Service,1.0,40000,customer_13
1.0,3/1/2024,,250.00,Per Month,Maintenance Agreements,1.0,60000,customer_13
1.0,3/1/2024,,"1,873.00",Per Month,Lease/Rental,1.0,70000,customer_13
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,80000,customer_13
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,90000,customer_13
1.0,3/1/2024,,800.00,,Installation/Service,1.0,100000,customer_13
1.0,3/1/2024,,"1,773.00",Per Month,Lease/Rental,1.0,130000,customer_13
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,140000,customer_13
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,150000,customer_13
1.0,3/1/2024,,800.00,,Installation/Service,1.0,160000,customer_13
1.0,3/1/2024,,100.00,Per Month,Monitoring,1.0,190000,customer_13
1.0,3/1/2024,,100.00,Per Month,Monitoring,1.0,200000,customer_13
1.0,3/1/2024,,100.00,Per Month,Monitoring,1.0,210000,customer_13
1.0,3/1/2024,,250.00,Per Month,Monitoring,1.0,220000,customer_13
1.0,2/14/2024,,"1,481.00",Per Month,Lease/Rental,1.0,10000,customer_14
1.0,2/14/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_14
1.0,2/14/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_14
1.0,2/14/2024,,800.00,,Installation/Service,1.0,40000,customer_14
4.0,2/14/2024,,125.00,Per Month,Monitoring,4.0,50000,customer_14
1.0,2/14/2024,,250.00,Per Month,Maintenance Agreements,1.0,60000,customer_14
1.0,3/14/2024,,"1,481.00",Per Month,Lease/Rental,1.0,70000,customer_14
1.0,3/14/2024,,150.00,Per Month,Lease/Rental,1.0,80000,customer_14
1.0,3/14/2024,,50.00,Per Month,Damage Waiver,1.0,90000,customer_14
1.0,3/14/2024,,800.00,,Installation/Service,1.0,100000,customer_14
4.0,3/14/2024,,125.00,Per Month,Monitoring,4.0,110000,customer_14
1.0,3/14/2024,,250.00,Per Month,Maintenance Agreements,1.0,120000,customer_14
1.0,4/9/2024,,"1,481.00",Per Month,Lease/Rental,1.0,130000,customer_14
1.0,4/9/2024,,150.00,Per Month,Lease/Rental,1.0,140000,customer_14
1.0,4/9/2024,,50.00,Per Month,Damage Waiver,1.0,150000,customer_14
1.0,4/9/2024,,800.00,,Installation/Service,1.0,160000,customer_14
4.0,4/9/2024,,125.00,Per Month,Monitoring,4.0,170000,customer_14
1.0,3/1/2024,,"1,000.00",Per Month,Lease/Rental,1.0,10000,customer_15
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_15
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_15
1.0,3/1/2024,,800.00,,Installation/Service,1.0,40000,customer_15
2.0,3/1/2024,,175.00,Per Month,Monitoring,2.0,50000,customer_15
1.0,3/1/2024,,75.00,Per Month,Maintenance Agreements,1.0,60000,customer_15
17.0,2/12/2024,,29.75,,Other Rev & Reimbursement,17.0,30000,customer_16
4.0,2/12/2024,8/7/2024,81.43,Per Month,Monitoring,4.0,40000,customer_16
1.0,2/12/2024,,400.00,,Installation/Service,1.0,50000,customer_16
1.0,2/12/2024,8/7/2024,"1,440.00",Per Month,Lease/Rental,1.0,60000,customer_16
1.0,7/15/2024,,825.00,Per Month,Lease/Rental,1.0,10000,customer_17
1.0,7/15/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_17
1.0,7/15/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_17
1.0,7/15/2024,,600.00,,Installation/Service,1.0,40000,customer_17
1.0,7/15/2024,,250.00,Per Month,Monitoring,1.0,50000,customer_17
1.0,7/15/2024,,"1,574.00",Per Month,Lease/Rental,1.0,60000,customer_17
1.0,7/15/2024,,150.00,Per Month,Lease/Rental,1.0,70000,customer_17
1.0,7/15/2024,,50.00,Per Month,Damage Waiver,1.0,80000,customer_17
1.0,7/15/2024,,600.00,,Installation/Service,1.0,90000,customer_17
1.0,7/15/2024,,250.00,Per Month,Monitoring,1.0,100000,customer_17
1.0,7/15/2024,,"1,360.00",Per Month,Lease/Rental,1.0,110000,customer_17
1.0,7/15/2024,,150.00,Per Month,Lease/Rental,1.0,120000,customer_17
1.0,7/15/2024,,50.00,Per Month,Damage Waiver,1.0,130000,customer_17
1.0,7/15/2024,,600.00,,Installation/Service,1.0,140000,customer_17
1.0,7/15/2024,,250.00,Per Month,Monitoring,1.0,150000,customer_17
1.0,2/13/2024,4/16/2024,"1,000.00",Per Month,Lease/Rental,1.0,10000,customer_18
1.0,2/13/2024,4/16/2024,150.00,Per Month,Lease/Rental,1.0,20000,customer_18
1.0,2/13/2024,,800.00,,Installation/Service,1.0,30000,customer_18
3.0,2/13/2024,4/16/2024,125.00,Per Month,Monitoring,3.0,40000,customer_18
1.0,3/1/2024,,890.00,Per Month,Lease/Rental,1.0,10000,customer_19
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_19
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_19
1.0,3/1/2024,,800.00,,Installation/Service,1.0,40000,customer_19
2.0,3/1/2024,,250.00,Per Month,Monitoring,2.0,50000,customer_19
1.0,3/1/2024,,75.00,Per Month,Maintenance Agreements,1.0,60000,customer_19
1.0,3/1/2024,,"1,140.00",Per Month,Lease/Rental,1.0,70000,customer_19
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,80000,customer_19
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,90000,customer_19
1.0,3/1/2024,,800.00,,Installation/Service,1.0,100000,customer_19
3.0,3/1/2024,,250.00,Per Month,Monitoring,3.0,110000,customer_19
1.0,5/8/2024,,0.00,,Other Rev & Reimbursement,1.0,120000,customer_19
1.0,3/1/2024,3/18/2024,50.00,Per Month,Damage Waiver,1.0,30000,customer_20
1.0,3/1/2024,,800.00,,Installation/Service,1.0,40000,customer_20
1.0,3/1/2024,3/18/2024,125.00,Per Month,Monitoring,1.0,50000,customer_20
1.0,3/1/2024,3/18/2024,250.00,Per Month,Maintenance Agreements,1.0,60000,customer_20
1.0,3/1/2024,3/18/2024,"1,890.00",Per Month,Lease/Rental,1.0,70000,customer_20
1.0,3/1/2024,3/18/2024,150.00,Per Month,Lease/Rental,1.0,80000,customer_20
1.0,3/1/2024,3/18/2024,50.00,Per Month,Damage Waiver,1.0,90000,customer_20
1.0,3/1/2024,,800.00,,Installation/Service,1.0,100000,customer_20
1.0,3/1/2024,3/18/2024,125.00,Per Month,Monitoring,1.0,120000,customer_20
1.0,3/1/2024,3/18/2024,250.00,Per Month,Maintenance Agreements,1.0,130000,customer_20
1.0,3/1/2024,3/18/2024,150.00,Per Month,Lease/Rental,1.0,150000,customer_20
1.0,3/1/2024,3/18/2024,50.00,Per Month,Damage Waiver,1.0,160000,customer_20
1.0,3/1/2024,,800.00,,Installation/Service,1.0,170000,customer_20
4.0,3/1/2024,3/18/2024,125.00,Per Month,Monitoring,4.0,180000,customer_20
1.0,3/1/2024,3/18/2024,250.00,Per Month,Maintenance Agreements,1.0,190000,customer_20
1.0,3/1/2024,3/18/2024,"1,450.00",Per Month,Monitoring,1.0,200000,customer_20
1.0,3/1/2024,3/18/2024,150.00,Per Month,Lease/Rental,1.0,210000,customer_20
1.0,3/1/2024,3/18/2024,50.00,Per Month,Damage Waiver,1.0,220000,customer_20
1.0,3/1/2024,,800.00,,Installation/Service,1.0,230000,customer_20
4.0,3/1/2024,3/18/2024,125.00,Per Month,Monitoring,4.0,240000,customer_20
1.0,3/1/2024,3/18/2024,250.00,Per Month,Maintenance Agreements,1.0,250000,customer_20
1.0,3/1/2024,3/18/2024,"1,550.00",Per Month,Lease/Rental,1.0,260000,customer_20
1.0,3/1/2024,3/18/2024,"2,673.00",Per Month,Lease/Rental,1.0,270000,customer_20
1.0,3/1/2024,3/18/2024,150.00,Per Month,Lease/Rental,1.0,280000,customer_20
1.0,3/10/2024,,"1,481.00",Per Month,Lease/Rental,1.0,10000,customer_21
1.0,3/10/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_21
1.0,3/10/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_21
1.0,3/10/2024,,800.00,,Installation/Service,1.0,40000,customer_21
4.0,3/10/2024,,175.00,Per Month,Monitoring,4.0,50000,customer_21
1.0,3/10/2024,,75.00,Per Month,Maintenance Agreements,1.0,60000,customer_21
1.0,3/10/2024,,"1,481.00",Per Month,Lease/Rental,1.0,70000,customer_21
1.0,3/10/2024,,150.00,Per Month,Lease/Rental,1.0,80000,customer_21
1.0,3/10/2024,,50.00,Per Month,Damage Waiver,1.0,90000,customer_21
1.0,3/10/2024,,800.00,,Installation/Service,1.0,100000,customer_21
4.0,3/10/2024,,175.00,Per Month,Monitoring,4.0,110000,customer_21
1.0,3/10/2024,,75.00,Per Month,Maintenance Agreements,1.0,120000,customer_21
1.0,3/13/2024,,825.00,Per Month,Lease/Rental,1.0,10000,customer_22
1.0,3/13/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_22
1.0,3/13/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_22
1.0,3/13/2024,,600.00,,Installation/Service,1.0,40000,customer_22
3.0,3/13/2024,,250.00,Per Month,Monitoring,3.0,50000,customer_22
1.0,3/13/2024,,"1,360.00",Per Month,Lease/Rental,1.0,60000,customer_22
1.0,3/13/2024,,150.00,Per Month,Lease/Rental,1.0,70000,customer_22
1.0,3/13/2024,,50.00,Per Month,Damage Waiver,1.0,80000,customer_22
1.0,3/13/2024,,600.00,,Installation/Service,1.0,90000,customer_22
3.0,3/13/2024,,250.00,Per Month,Monitoring,3.0,100000,customer_22
1.0,3/13/2024,,"1,200.00",Per Month,Lease/Rental,1.0,110000,customer_22
1.0,3/13/2024,,150.00,Per Month,Lease/Rental,1.0,120000,customer_22
1.0,3/13/2024,,50.00,Per Month,Damage Waiver,1.0,130000,customer_22
1.0,3/13/2024,,600.00,,Installation/Service,1.0,140000,customer_22
3.0,3/13/2024,,250.00,Per Month,Monitoring,3.0,150000,customer_22
1.0,6/6/2024,,300.00,,Installation/Service,1.0,160000,customer_22
1.0,1/29/2024,2/5/2024,"1,282.05",Per Month,Lease/Rental,1.0,10000,customer_23
1.0,1/29/2024,2/5/2024,99.00,Per Month,Lease/Rental,1.0,20000,customer_23
1.0,1/29/2024,,643.50,,Installation/Service,1.0,30000,customer_23
4.0,1/29/2024,2/5/2024,113.85,Per Month,Monitoring,4.0,40000,customer_23
1.0,2/9/2024,,440.00,Per Month,Lease/Rental,1.0,10000,customer_24
1.0,2/9/2024,,100.00,Per Month,Lease/Rental,1.0,20000,customer_24
1.0,2/9/2024,,50.00,Per Month,Other Rev & Reimbursement,1.0,30000,customer_24
1.0,2/9/2024,,800.00,,Installation/Service,1.0,40000,customer_24
2.0,2/9/2024,,350.00,Per Month,Monitoring,2.0,50000,customer_24
1.0,2/9/2024,,0.00,Per Month,Maintenance Agreements,1.0,60000,customer_24
1.0,2/9/2024,,440.00,Per Month,Lease/Rental,1.0,70000,customer_24
1.0,2/9/2024,,100.00,Per Month,Lease/Rental,1.0,80000,customer_24
1.0,2/9/2024,,50.00,Per Month,Other Rev & Reimbursement,1.0,90000,customer_24
1.0,2/9/2024,,800.00,,Installation/Service,1.0,100000,customer_24
2.0,2/9/2024,,350.00,Per Month,Monitoring,2.0,110000,customer_24
1.0,2/9/2024,,440.00,Per Month,Lease/Rental,1.0,120000,customer_24
1.0,2/9/2024,,100.00,Per Month,Lease/Rental,1.0,130000,customer_24
1.0,2/9/2024,,50.00,Per Month,Other Rev & Reimbursement,1.0,140000,customer_24
1.0,2/9/2024,,800.00,,Installation/Service,1.0,150000,customer_24
2.0,2/9/2024,,350.00,Per Month,Monitoring,2.0,160000,customer_24
1.0,3/1/2024,,"1,000.00",Per Month,Lease/Rental,1.0,10000,customer_25
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_25
1.0,3/1/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_25
1.0,3/1/2024,,800.00,,Installation/Service,1.0,40000,customer_25
2.0,3/1/2024,,175.00,Per Month,Monitoring,2.0,50000,customer_25
1.0,3/1/2024,,75.00,Per Month,Maintenance Agreements,1.0,60000,customer_25
2.0,3/1/2024,,0.00,,Other Rev & Reimbursement,2.0,70000,customer_25
1.0,3/1/2024,,925.00,Per Month,Lease/Rental,1.0,10000,customer_26
1.0,3/1/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_26
1.0,3/1/2024,,600.00,,Installation/Service,1.0,30000,customer_26
1.0,3/1/2024,,75.00,Per Month,Maintenance Agreements,1.0,40000,customer_26
1.0,2/15/2024,,"1,206.00",Per Month,Lease/Rental,1.0,10000,customer_27
1.0,2/15/2024,,150.00,Per Month,Lease/Rental,1.0,20000,customer_27
1.0,2/15/2024,,50.00,Per Month,Damage Waiver,1.0,30000,customer_27
1.0,2/15/2024,,600.00,,Installation/Service,1.0,40000,customer_27
3.0,2/15/2024,,125.00,Per Month,Monitoring,3.0,50000,customer_27
1.0,2/15/2024,,"1,206.00",Per Month,Lease/Rental,1.0,60000,customer_27
1.0,2/15/2024,,150.00,Per Month,Lease/Rental,1.0,70000,customer_27
1.0,2/15/2024,,50.00,Per Month,Damage Waiver,1.0,80000,customer_27
